"uar_id","査定依頼日時","入札開始日時","落札日","メーカー","車種","型式タイプ","型式グレード","マスタ年式","年式","査定入力モデル","査定入力グレード","走行距離","事故修理_コード","事故修理_表示","事故歴","修理歴","事故修理_詳細","愛車の説明","落札価格","入札1位_入札額","入札1位_上限入札額","入札2位_入札額","入札2位_上限入札額","入札3位_入札額","入札3位_上限入札額","入札4位_入札額","入札4位_上限入札額","入札5位_入札額","入札5位_上限入札額"
"40845","2026-02-15 14:46:09.418","2026-02-16 14:24:00.000","2026-03-17 14:11:32.891","トヨタ","カローラクロス",,,"2021","令和4年7月","3BA-ZSG10","Z","20476","NO","なし","false","false","","カスタム等なし。","2891000","2850000","3050000","2700000","2801000","2700000","2800000","2600000","2891000","1000000","1100000"
"40947","2026-02-15 23:51:45.568","2026-02-19 16:04:00.000","2026-03-05 15:44:09.404","ホンダ","レジェンド",,,"2007","平成19年3月","DBA-KB1","LEGEND","92938","NO","なし","false","false","","６年ほど前にホンダ認定中古車として購入しました。
年式の割には外装・内装ともに綺麗なほうかと思います。
モデューロフルエアロ装着、無限マフラー・Acuraフロントグリル・エンブレム装着してます。
タイヤはDUNLOP　SP　SPORTMAX　６部山といったところです。
走行に問題はなく、エアコンも通常通り使えてます。
認定保証期間内にパワステポンプ・ダイナモの無償修理を受けました。
リヤバンパーの傷は、低いポールに気付かずに接触してしまった時にできたものです。
左フロントフェンダーの傷がそこそこ目立ちますが、購入時からあったものです。
","253000","230000","250000","220000","240000","150000","206000","150000","246000","150000","220000"
"40950","2026-02-16 00:11:44.798","2026-03-06 13:48:00.000","2026-03-10 11:42:16.769","スズキ","ハスラー",,,"2014","平成26年6月","DBA-MR31S","Xターボ ルーフレール装着車　2WD 前輪駆動","144843","NO","なし","false","false","","フォグランプ、純正ホワイトホイール、ETC、ドラレコ、純正ナビ、他はノーマルです。","200000","200000",,"160000","200000","150000","180000","130000","152000","128000","158000"
"40974","2026-02-16 08:12:06.746","2026-03-15 10:55:00.000","2026-03-19 11:27:33.571","ランドローバー","ディスカバリースポーツ",,,"2016","平成28年1月","CBA-LC2A","SE　パノラマルーフ","71029","NO","なし","false","false",,"純正ナビ
純正ホイール","1058000","1030000","1060000","980000","1055000","900000","1000000","850000","885000","800000","900000"
"41012","2026-02-16 12:55:20.394","2026-03-01 18:07:00.000","2026-03-06 10:23:36.655","ホンダ","オデッセイ",,,"2013","平成 25年10月","DBA-RC1","ＡＢＳＯＬＵＴＥ・ＥＸ","129577","REPAIR","修理歴あり","false","true","左折時縁石で左前ドア下側擦って修理しました。","走行距離約8000km時、ディーラーの認定中古車を購入。夏タイヤ純正アルミあり。後席純正モニターあり、写ります。運転席ドアの窓スイッチ、助手席のみ窓が開きません。助手席のスイッチでは開けられます。ペットは一年前から、必ずクレートにいれて移動、室内は歩かせていません。小傷あり。右2列目シートのシートレールの樹脂カバーが1カ所取れてます。リアスポイラーの塗装剥がれあり。
子供の送迎等で、毎日10kmほど走らなければいけないので、写真より走行距離が伸びてしまうと思います。","172000","163000",,"140000","155000","100000","180000","100000","150000","100000",
"41019","2026-02-16 13:50:11.600","2026-03-05 15:38:00.000","2026-03-09 12:43:31.478","ホンダ","フィット",,,"2007","平成19年6月","DBA-GD1","1.3A 特別仕様車『Comfort Edition』","42775","NO","なし","false","false","","社外ナビ、ドラレコ、レーダー探知機
樹脂部分(バンパー、ミラー)のカラーが少し色褪せあり。","153000","148000",,"140000","150000","140000","155000","100000","130000","60000","105000"
"41060","2026-02-16 19:42:46.918","2026-03-02 11:40:00.000","2026-03-08 11:51:27.290","トヨタ","ハイラックスサーフ",,,"1997","平成 8年 10月","E-RZN185W","ＳＳＲ－Ｘ","133427","NO","なし","false","false","","写真の通りです。
INNO製ロッドホルダー装着。
右前フェンダーメッキ部分に少量の擦過損あり。
前後フェンダーメッキ部分に多少のサビあり。","1300000","1100000","1300000","1000000",,"600000","859000","550000",,"430000","500000"
"41067","2026-02-16 20:33:44.735","2026-02-26 16:00:00.000","2026-03-06 15:00:01.270","マツダ","ＣＸ－３",,,"2015","平成27年3月","LDA-DK5FW","ＸＤ　Ｔｏｕｒｉｎｇ","64657","NO","なし","false","false","","特になし","680000","590000","600000","550000","660000","500000","600000",,,,
"41075","2026-02-16 21:13:16.230","2026-02-23 16:26:00.000","2026-03-05 16:11:56.428","フォルクスワーゲン","ゴルフＧＴＩ",,,"2013","平成25年12月","ABA-AUCHH","GTI","109602","REPAIR","修理歴あり","false","true","右フロントから右ドアにかけて擦られ修理済。","★特徴
ゴルフGTIは赤のタータンチェック柄のシートが有名ですが、こちらは純正オプションのレザーパッケージを装備しています。
また、運転席・助手席には3段階の調整が可能なシートヒーターを備え、運転席のみパワーシートとなっており、背もたれ・座面高さ、ランバーサポートの電動での調整が可能となっています。

★現在装着されている社外パーツ
※元々カスタムしておりましたが、可能な限り純正に戻しています。
1.ホイール
ENKEI PF05 18インチに225 40 R18サイズのブリザックVRXを組んでいます。
2.スペーサー
TPIのスペーサー(前3ミリ・後5ミリ)を入れています。
3.バッテリー
超軽量バッテリーのMEGALifeバッテリーを搭載しています。
4.運転席足元
Maniacs製フットレストを左右装着しています。
5.ドライブレコーダー
コムテック製ZDR-035を前後カメラで装着しています。
6.ライト
フロント・テール共にプロテクションフィルムを施工しています。

★傷について
1.車体
日常使いしておりましたので全体的に傷が多いですが、特に目立つものとして、ボンネットの飛び石傷、テールゲートの線傷、左フロントライトとバンパーの境目に塗料を盛った跡があります。
またフロントバンパー右側にクリア剥げが発生し、そちらを隠すためにREVO Technikのステッカーを貼ってあります。
また、リアサイドガラス下部にも同様のステッカーを貼っております。
2.内装
後席については使用頻度も少ないため綺麗かと思います。不具合として、フロントのシフトノブ下のドリンクホルダー部蓋が壊れており開閉がうまくできませんので、開けっぱなしで使用しております。

★他不具合について
現状発生しているものとしては、右リアの足回りからコトコトと音が発生しております。
また、エンジンについても漏れはありませんが、オイル食いが発生しており、オイル交換・補充後3000km程度走行すると1Lほどオイルが減少し警告灯が点灯します。VWグループのEA888エンジンでは距離を重ねた個体によく発生する事象とのことです。
PCVバルブの交換や硬いオイルに変更など各種対処を試みましたが改善はされておりません。
他、過去にサーモスタットハウジング、ウォーターポンプ、エキスパンションタンクからの冷却水漏れが発生しておりますが全て修理済です。
エンジンオイルは5000kmごとに定期的に交換、DSG(ミッション)オイルについても25000kmごとに交換しています。
2025年12月に定期点検を受けており、その時には特に問題は指摘されていません。

以上になります。
どうぞよろしくお願いいたします。","700000","700000","750000","500000","570000",,,,,,
"41120","2026-02-17 12:11:21.146","2026-02-25 16:41:00.000","2026-03-03 15:44:11.818","マセラティ","クアトロポルテ",,,"2018","平成30年5月","ABA-MQP30C","グランルッソ","45294","NO","なし","false","false","","T&T  フォージド　22インチ現車合わせ（80万ほど）
タイヤ4本新品
ミッションオイル交換済
空気圧センサー4本新品

iPEマフラー新品　80万くらい　可変バルブ（リモコン付属）

警告灯なし
定期メンテナンスマーク","2838000","2708000","2838000","2550000","2600000","2488000",,"2450000","2606000","2300000","2400000"
"41193","2026-02-17 22:08:23.532","2026-03-04 18:02:00.000","2026-03-07 10:32:03.841","メルセデス・ベンツ","Ａクラス",,,"2013","平成25年10月","DBA-176042","A180","80143","NO","なし","false","false","","現在、社外ホイールに2025年12月〜使用のスタッドレスタイヤを装着しています。純正ホイールと夏用タイヤは保管しています。","300000","286000",,"230000","250000","200000","250000","100000",,,
"41347","2026-02-19 10:19:59.194","2026-03-10 14:52:00.000","2026-03-13 16:17:18.644","三菱","デリカＤ：５",,,"2025","令和7年4月","3DA-CV1W","ＣＨＡＭＯＮＩＸ ステップレス","6729","NO","なし","false","false","","外装の小さな傷は画像アップロードしています。
エンジン等に異常はありません。
オプションは以下です。
MADLYS 後期デリカD5 ヘッドライトプロテクター
Pioneer ETC2.0 ND-ETCS10
ナビ:デリカD:5専用11型カーナビ ビッグX 11
ドラレコ: ZDR055 (ドライブレコーダー)","4388000","4388000","4538000","4280000","4315000","4180000",,"4085000","4175000","4070000","4120000"
"41400","2026-02-19 18:09:46.824","2026-02-24 12:03:00.000","2026-03-04 13:01:38.308","トヨタ","ランドクルーザープラド",,,"2022","令和4年8月","3BA-TRJ150W","ＴＸ　Ｌパッケージ","15724","NO","なし","false","false",,"モデリスタ、ワイパー、タイヤ交換済み、メーカー定期メンテナンス、ETC、状態はとても良いです。

エンジン全く問題ありません。快調です。","5250000","5250000","5470000","4870000","4905000","4600000","4989000","4200000","4350000","3850000","4200000"
"41425","2026-02-19 22:22:56.554","2026-02-21 11:11:00.000","2026-03-28 18:09:45.907","ホンダ","Ｎ－ＶＡＮ＋スタイル",,,"2019","令和1年8月","HBD-JJ1","十ＳＴＹＬＥ ＦＵＮ・ターボ Ｈｏｎｄａ ＳＥＮＳＩＮＧ","112868","NO","なし","false","false",,"純正カーナビ。ETC。ドラレコ(前後)。バックカメラ。
エンジンは快調です。","640000","615000","640000","550000","650000","550000","605000","500000","530000","500000","591000"
"41461","2026-02-20 10:53:19.623","2026-02-25 10:43:00.000","2026-03-18 17:49:32.286","プジョー","２０７",,,"2007","平成17年2月","GH-T1KFW","207スタイル","122105","NO","なし","false","false","","社外品はスタッドレスタイヤのアルミホイルのみです
ワイパーブレードは2026年1月に新品に交換済です","50000","50000","70000","13000",,"10000","30000","10000","13000","1000","25000"
"41463","2026-02-20 11:02:47.688","2026-02-23 11:42:00.000","2026-03-01 12:29:43.648","トヨタ","ランドクルーザープラド",,,"2021","令和3年4月","3DA-GDJ150W","ベースグレード「ＴＸ　Ｌパッケージ」の特別仕様車「ＴＸ　Ｌパッケージ　ブラックエディション」","42397","NO","なし","false","false",,"2021年式 ランドクルーザープラドブラックエディションTX 2.8L ディーゼル
カスタムなどは一切行っておらず、すべて純正パーツを維持。

【走行・メンテナンス状況】
現在も週に1〜2回は必ず運転しており、エンジン・足回りともに非常にスムーズで、異音や不具合は一切ございません。

定期正規ディーラーにて定期点検を実施。。
2025年12月にディーラー点検を受けたばかりです。
オイル交換： 最終点検時に実施済み。

【外装・傷の状態について】
傷の箇所あり。
左後部座席ドア： 狭い道で電柱に擦ってしまった際の傷があります（画像参照）。
補修： 錆防止のため、メーカー純正のタッチアップペンで簡易的に塗っております。


サンルーフについて；不具合なく開閉できております。
ペッド乗車時、基本的にペット専用シートカバーを使用しておりますので、シート本体に毛がつかないように気をつけています。
エンジン快調です。

走行距離について：500kmほど増加いたします","4730000","4528000","4638000","4360000","4465000","4100000","4200000","4050000","4170000","4028000",
"41491","2026-02-20 15:34:50.047","2026-02-24 12:36:00.000","2026-03-03 17:40:55.998","スズキ","ジムニー",,,"2018","平成30年3月","ABA-JB23W","特別仕様車 ランドベンチャー パートタイム4WD 高低二段切替式 (後輪駆動ベース)","22027","NO","なし","false","false","","タニグチのパーツでフルカスタムしています。
カスタム費用は200万以上です。
足回りはビルシュタインで、ホイールはRaysです。
コンピュータ変更、チューニングして100ps程度の馬力です。ハイオク仕様です。","1238000","1100000","1229000","1015000",,"1000000","1100000","700000",,"600000","750000"
"41609","2026-02-21 12:25:29.296","2026-03-02 16:11:00.000","2026-03-08 17:41:33.779","トヨタ","アクア",,,"2012","平成24年1月","DAA-NHP10","Ｇ","91410","NO","なし","false","false",,"3週間ほど前に事故をもらいました。その際にフロントのカバーが外れ、ホグランプのライトはつきますが、外れている状態です。車は動きます。

エンジンは快調です。
雹害はボンネットと、ルーフ全体両方にあります。300x300mmに一箇所か、二箇所
見たところ多いところで二箇所から三箇所ほどありました。がない部分もあります。

タバコの匂いはすこ日残っていたいますが。そこまで吸っていないため、天井等のシミはありません。","130000","130000","145000","50000","105000","50000","100000",,,,
"41636","2026-02-21 15:37:41.056","2026-02-23 12:30:00.000","2026-03-04 12:25:57.973","ボルボ","２４０ワゴン",,,"1993","平成5年8月","E-AB230W","240ワゴンのクラシック","249531","NO","なし","false","false",,"2025年スタッドレス、社外アルミホイル、 
(2020年サマータイヤ、社外アルミホイルもあり)
アルミマフラーに交換、
ディスプレイオーディオ、
ドラレコ付きデジタルインナーミラー、
助手席側前バンパー下のスカート部分外れがあり補修テープを貼ってます、
ボンネット、フロントウインドウ石飛小キズあり、
ガソリン注入口ふたキズあり、



自身が所有してからの整備点検記録全てありです

現時点でエンジンに問題ありません

グレードは240ワゴンのクラシックです。1993年で240の最終年です。通常の物との比較だとインパネの木目パネル、本皮シート、ルーフレールが追加となっていると認識してます
インパネの写真を追加しました。中華製ですがディスプレイオーディオ、ミラー型ドラレコをつけてます。
キズと凹みですがガソリン注入口ふたにわりと深いキズがあります。ルーフと助手席側リアゲート横に1カ所づつエクボがあります。(写真には写りませんでした)
ボンネットと前面ガラスに飛石小キズありです。","735000","650000","735000","600000","630000","580000","635000","558000","688000","500000","589000"
